QV,Wirtschaftswissenschaften
QW,Wirtschaftswissenschaften
QX,Wirtschaftswissenschaften
QY,Wirtschaftswissenschaften
QZ,Wirtschaftswissenschaften
Q,Wirtschaftswissenschaften
RA,Geographie
RB,Geographie
RC,Geographie
RD,Geographie
RE,Geographie
RF,Geographie
RG,Geographie
RH,Geographie
RI,Geographie
RJ,Geographie
RK,Geographie
RL,Geographie
RM,Geographie
RN,Geographie
RO,Geographie
RP,Geographie
RQ,Geographie
RR,Geographie
RS,Geographie
RT,Geographie
RU,Geographie
RV,Geographie
RW,Geographie
RX,Geographie
RY,Geographie
RZ,Geographie
R,Geographie
SA,Mathematik
SB,Mathematik
SC,Mathematik
SD,Mathematik
SE,Mathematik
SF,Mathematik
SG,Mathematik
SH,Mathematik
SI,Mathematik
SJ,Mathematik
SK,Mathematik
SL,Mathematik
SM,Mathematik
SN,Mathematik
SO,Mathematik
SP,Mathematik
SQ,Informatik
SR,Informatik
SS,Informatik
ST,Informatik
SU,Informatik
TA,Allgemeine Naturwissenschaft
TB,Allgemeine Naturwissenschaft
TC,Allgemeine Naturwissenschaft
TD,Allgemeine Naturwissenschaft
TE,Geologie und Paläontologie
TF,Geologie und Paläontologie
TG,Geologie und Paläontologie
TH,Geologie und Paläontologie
TI,Geologie und Paläontologie
TJ,Geologie und Paläontologie
TK,Geologie und Paläontologie
TL,Geologie und Paläontologie
TM,Geologie und Paläontologie
TN,Geologie und Paläontologie
TO,Geologie und Paläontologie
TP,Geologie und Paläontologie
TQ,Geologie und Paläontologie
TR,Geologie und Paläontologie
TS,Geologie und Paläontologie
TT,Geologie und Paläontologie
TU,Geologie und Paläontologie
TV,Geologie und Paläontologie
TW,Geologie und Paläontologie
TX,Geologie und Paläontologie
TY,Geologie und Paläontologie
TZ,Geologie und Paläontologie
UA,Physik
UB,Physik
UC,Physik
UD,Physik
UE,Physik
UF,Physik
UG,Physik
UH,Physik
UI,Physik
UJ,Physik
UK,Physik
UL,Physik
UM,Physik
UN,Physik
UO,Physik
UP,Physik
UQ,Physik
UR,Physik
US,Physik
UT,Physik
UU,Physik
UV,Physik
UW,Physik
UX,Physik
UY,Physik
UZ,Physik
U,Physik
VA,Chemie
VB,Chemie
VC,Chemie
VD,Chemie
VE,Chemie
VF,Chemie
VG,Chemie
VH,Chemie
VI,Chemie
VJ,Chemie
VK,Chemie
VL,Chemie
VM,Chemie
VN,Chemie
VO,Chemie
VP,Chemie
VQ,Chemie
VR,Chemie
VS,Chemie
VT,Chemie
VU,Chemie
VV,Chemie
VW,Chemie
VX,Chemie
VY,Chemie
VZ,Chemie
V,Chemie
WA,Biologie
WB,Biologie
WC,Biologie
WD,Biologie
WE,Biologie
WF,Biologie
WG,Biologie
WH,Biologie
WI,Biologie
WJ,Biologie
WK,Biologie
WL,Biologie
WM,Biologie
WN,Biologie
WO,Biologie
WP,Biologie
WQ,Biologie
WR,Biologie
WS,Biologie
WT,Biologie
WU,Biologie
WV,Biologie
WW,Biologie
WX,Biologie
WY,Biologie
WZ,Biologie
W,Biologie
XA,Medizin
XB,Medizin
XC,Medizin
XD,Medizin
XE,Medizin
XF,Medizin
XG,Medizin
XH,Medizin
XI,Medizin
XJ,Medizin
XK,Medizin
XL,Medizin
XM,Medizin
XN,Medizin
XO,Medizin
XP,Medizin
XQ,Medizin
XR,Medizin
XSX,Medizin
XT,Medizin
XU,Medizin
XV,Medizin
XW,Medizin
XX,Medizin
XY,Medizin
XZ,Medizin
X ,Medizin
YA,Medizin
YB,Medizin
YC,Medizin
YD,Medizin
YE,Medizin
YF,Medizin
YG,Medizin
YH,Medizin
YI,Medizin
YJ,Medizin
YK,Medizin
YL,Medizin
YM,Medizin
YN,Medizin
YO,Medizin
YP,Medizin
YQ,Medizin
YR,Medizin
YS,Medizin
YT,Medizin
YU,Medizin
YV,Medizin
YW,Medizin
YX,Medizin
YY,Medizin
YZ,Medizin
Y ,Medizin
ZA,Land- und Forstwirtschaft
ZB,Land- und Forstwirtschaft
ZC,Land- und Forstwirtschaft
ZD,Land- und Forstwirtschaft
ZE,Land- und Forstwirtschaft
ZG,Technik
ZH,Technik
ZI,Technik
ZJ,Technik
ZK,Technik
ZL,Technik
ZM,Technik
ZN,Technik
ZO,Technik
ZP,Technik
ZQ,Technik
ZR,Technik
ZS,Technik
ZX,Sport
ZY,Sport
